x,u,x_dot
[[ 0.304 -0.374]],[[0.85343195]],[[-3.16389805  3.09086185]]
[[-0.344  0.192]],[[0.3016943]],[[ 1.62424713 -0.38134667]]
[[ 0.344 -0.186]],[[-0.33458433]],[[-1.57348941  0.30050436]]
[[ 0.114 -0.37 ]],[[1.]],[[-3.13005957  2.97229466]]
[[-0.112  0.368]],[[-1.]],[[ 3.11314033 -2.9649976 ]]
[[-0.272  0.006]],[[1.]],[[0.05075772 1.57801704]]
[[ 0.272 -0.014]],[[-0.99399967]],[[-0.11843469 -1.55406131]]
[[-0.038 -0.266]],[[1.]],[[-2.25025904  2.48126433]]
[[0.038 0.266]],[[-1.]],[[ 2.25025904 -2.48126433]]
[[ 0.21  -0.254]],[[0.56566769]],[[-2.1487436   2.07752647]]
[[-0.21   0.254]],[[-0.56566769]],[[ 2.1487436  -2.07752647]]
[[0.166 0.136]],[[-1.]],[[ 1.15050838 -2.01154536]]
[[-0.16  -0.142]],[[1.]],[[-1.20126611  2.03341023]]
[[ 0.344 -0.292]],[[0.24647275]],[[-2.47020918  1.72871844]]
[[-0.344  0.292]],[[-0.24647275]],[[ 2.47020918 -1.72871844]]
[[ 0.212 -0.392]],[[1.]],[[-3.31617122  3.22806266]]
[[-0.212  0.392]],[[-1.]],[[ 3.31617122 -3.22806266]]
[[-0.22   0.128]],[[0.16438835]],[[ 1.08283142 -0.31569993]]
[[ 0.208 -0.13 ]],[[-0.10618635]],[[-1.09975066  0.41961149]]
[[-0.088  0.24 ]],[[-0.96918406]],[[ 2.03030891 -2.67049672]]
[[ 0.088 -0.246]],[[1.]],[[-2.08106663  2.74674551]]
[[-0.318  0.102]],[[0.69269421]],[[0.86288129 0.66400677]]
[[ 0.318 -0.102]],[[-0.69269421]],[[-0.86288129 -0.66400677]]
[[ 0.032 -0.326]],[[1.]],[[-2.75783627  2.72360275]]
[[-0.032  0.326]],[[-1.]],[[ 2.75783627 -2.72360275]]
[[-0.262  0.32 ]],[[-0.72275706]],[[ 2.70707855 -2.63311388]]
[[ 0.262 -0.32 ]],[[0.72275706]],[[-2.70707855  2.63311388]]
[[ 0.286 -0.228]],[[0.12396605]],[[-1.92879347  1.23938055]]
[[-0.286  0.23 ]],[[-0.13492939]],[[ 1.94571271 -1.26632799]]
[[-0.226 -0.07 ]],[[1.]],[[-0.59217343  1.78512802]]
[[0.23  0.066]],[[-1.]],[[ 0.55833495 -1.77058371]]
[[-0.168  0.324]],[[-1.]],[[ 2.74091703 -3.03585567]]
[[ 0.17  -0.326]],[[1.]],[[-2.75783627  3.04314269]]
[[0.108 0.212]],[[-1.]],[[ 1.79343954 -2.24704428]]
[[-0.002 -0.164]],[[0.90686708]],[[-1.38737776  2.22248796]]
[[-0.164  0.028]],[[0.49210831]],[[0.23686937 0.67266025]]
[[4.4408921e-16 1.6600000e-01]],[[-0.90995731]],[[ 1.404297   -2.23663713]]
[[ 0.166 -0.022]],[[-0.53287144]],[[-0.18611165 -0.76631812]]
[[-0.104 -0.212]],[[1.]],[[-1.79343954  2.256307  ]]
