State,Action,NextState
[ 0.95710313  0.2897474  -0.6954342 ],[1.7224684],[ 0.960229    0.2792138  -0.21975343]
[-0.73346454  0.67972773 -0.45208222],[-0.01455253],[-0.735349    0.6776886   0.05553071]
[-0.16427568 -0.9864145  -0.22078486],[0.7562059],[-0.20589861 -0.9785733  -0.8471648 ]
[0.9596829  0.28108495 0.37179363],[1.3267918],[0.9479677  0.31836644 0.7816261 ]
[-0.9994136  -0.03424074  0.7779218 ],[1.867581],[-0.9963158  -0.08576088  1.0323783 ]
[ 0.26564538 -0.9640708   0.40206286],[0.98907167],[ 0.25731423 -0.9663278  -0.17262949]
[ 0.83626187 -0.5483303   0.7008078 ],[-0.7589646],[ 0.841047   -0.54096204  0.17571539]
[-0.98613447  0.16594821 -0.2904322 ],[0.8376032],[-0.9857978   0.16793644 -0.04033058]
[0.6182762  0.7859609  0.14826304],[1.8060957],[0.57786894 0.81612957 1.008648  ]
[ 0.959535   -0.28158933 -0.5492037 ],[1.8747066],[ 0.9525135 -0.3044963 -0.4791897]
[-0.53126836 -0.8472036  -0.83401984],[-1.1689662],[-0.599067  -0.8006989 -1.6447675]
[ 0.61711067 -0.7868764  -0.9753205 ],[-1.0025382],[ 0.5474154 -0.8368611 -1.7158585]
[-0.96885145  0.24764273  0.9246879 ],[-1.5026776],[-0.9788578   0.20454174  0.88501835]
[-0.33935696  0.9406577  -0.95170194],[-1.6505984],[-0.31603113  0.9487488  -0.49379843]
[ 0.08744671 -0.9961692   0.39839846],[0.9782058],[ 0.07738124 -0.9970016  -0.20199756]
[-0.43004876 -0.9028056   0.02188597],[-0.03461282],[-0.45962003 -0.88811564 -0.66041017]
[-0.19573914 -0.980656   -0.4952382 ],[0.74313796],[-0.2502845 -0.9681723 -1.1192595]
[ 0.8936087   0.44884685 -0.7191462 ],[1.1831523],[ 0.8981632   0.43966222 -0.2050382 ]
[ 0.9981656  -0.06054258 -0.815338  ],[0.31103057],[ 0.99487513 -0.10111107 -0.8140904 ]
[-0.9962482  -0.08654206 -0.29851487],[0.05736613],[-0.99762666 -0.0688551  -0.3548165 ]
[-0.2929132   0.956139    0.75588405],[-0.35798308],[-0.359971   0.9329635  1.4192909]
[ 0.9809044  -0.19449037 -0.10370554],[-0.07701955],[ 0.97828156 -0.20728043 -0.26112625]
[ 0.11254793 -0.9936463  -0.500533  ],[0.26046872],[ 0.05242798 -0.9986247  -1.2066973 ]
[-0.48680946  0.87350816  0.44618115],[-0.9068113],[-0.5283857   0.84900445  0.9652906 ]
[-0.05850824  0.9982869   0.9407333 ],[0.54878736],[-0.14659975  0.9891959   1.7717667 ]
[-0.24152635 -0.97039425  0.25324085],[0.3535788],[-0.26192313 -0.9650887  -0.42151803]
[-0.99736685 -0.07252156 -0.71651006],[-1.3972477],[-0.9997225  -0.02355868 -0.98048836]
[-0.6539958   0.75649816  0.91644204],[0.5972304],[-0.7114254  0.7027616  1.5734003]
[ 0.9611139   0.27615216 -0.78134763],[0.38789874],[ 0.96791863  0.25126392 -0.5160487 ]
[0.16404659 0.9864526  0.25926968],[1.7876115],[0.10125505 0.9948605  1.2672509 ]
