State,Action,NextState
[ 0.27323464 -0.96194744  0.70708597],[1.9326797],[ 0.28646043 -0.9580921   0.27552736]
[ 0.28646043 -0.9580921   0.27552736],[1.9596775],[ 0.27931044 -0.96020085 -0.14909008]
[ 0.27931044 -0.96020085 -0.14909008],[1.9394059],[ 0.25143188 -0.967875   -0.57832986]
[ 0.25143188 -0.967875   -0.57832986],[1.6739845],[ 0.20014162 -0.97976696 -1.0531384 ]
[ 0.20014162 -0.97976696 -1.0531384 ],[0.03776336],[ 0.11215106 -0.99369115 -1.7822992 ]
[ 0.11215106 -0.99369115 -1.7822992 ],[-1.666784],[-0.02648865 -0.9996491  -2.777585  ]
[-0.02648865 -0.9996491  -2.777585  ],[-1.1743364],[-0.21008839 -0.9776824  -3.7034724 ]
[-0.21008839 -0.9776824  -3.7034724 ],[-0.13264334],[-0.4209541  -0.90708196 -4.4566307 ]
[-0.4209541  -0.90708196 -4.4566307 ],[-0.2880441],[-0.639236   -0.76901066 -5.1801486 ]
[-0.639236   -0.76901066 -5.1801486 ],[-0.8445678],[-0.8347529  -0.55062467 -5.883592  ]
[-0.8347529  -0.55062467 -5.883592  ],[-1.1731863],[-0.9665221  -0.25658327 -6.4725385 ]
[-0.9665221  -0.25658327 -6.4725385 ],[-1.5410322],[-0.9963624   0.08521759 -6.8961306 ]
[-0.9963624   0.08521759 -6.8961306 ],[-1.6992228],[-0.9048896  0.4256464 -7.087101 ]
[-0.9048896  0.4256464 -7.087101 ],[-0.81520593],[-0.7079652  0.7062473 -6.890147 ]
[-0.7079652  0.7062473 -6.890147 ],[0.94627786],[-0.45794916  0.88897836 -6.2185197 ]
[-0.45794916  0.88897836 -6.2185197 ],[-0.8653157],[-0.19043742  0.98169935 -5.6815834 ]
[-0.19043742  0.98169935 -5.6815834 ],[-1.1166542],[ 0.06398889  0.9979506  -5.112807  ]
[ 0.06398889  0.9979506  -5.112807  ],[-1.5368222],[ 0.2895685  0.9571573 -4.594867 ]
[ 0.2895685  0.9571573 -4.594867 ],[-1.5536475],[ 0.4787921  0.8779283 -4.1100464]
[ 0.4787921  0.8779283 -4.1100464],[-0.8144579],[ 0.62721074  0.7788496  -3.573769  ]
[ 0.62721074  0.7788496  -3.573769  ],[-0.04073238],[ 0.73641366  0.67653155 -2.9957416 ]
[ 0.73641366  0.67653155 -2.9957416 ],[0.17004323],[ 0.8139362   0.58095425 -2.4628365 ]
[ 0.8139362   0.58095425 -2.4628365 ],[0.20350409],[ 0.86778396  0.49694163 -1.9965951 ]
[ 0.86778396  0.49694163 -1.9965951 ],[0.14834261],[ 0.90475637  0.42592952 -1.6016376 ]
[ 0.90475637  0.42592952 -1.6016376 ],[-0.07613003],[ 0.9303946   0.36655957 -1.29361   ]
[ 0.9303946   0.36655957 -1.29361   ],[-0.1099807],[ 0.948113    0.31793353 -1.0351874 ]
[ 0.948113    0.31793353 -1.0351874 ],[-0.80971754],[ 0.96170515  0.2740862  -0.91819483]
[ 0.96170515  0.2740862  -0.91819483],[-0.5162443],[ 0.97177935  0.23589168 -0.79006684]
[ 0.97177935  0.23589168 -0.79006684],[-0.654876],[ 0.97955334  0.20118457 -0.71137947]
[ 0.97955334  0.20118457 -0.71137947],[-0.349043],[ 0.9852573   0.17107898 -0.6128475 ]
[ 0.9852573   0.17107898 -0.6128475 ],[-0.44594657],[ 0.98959917  0.14385237 -0.5514303 ]
[ 0.98959917  0.14385237 -0.5514303 ],[-0.15943861],[ 0.9926908   0.12068544 -0.4674568 ]
[ 0.9926908   0.12068544 -0.4674568 ],[-0.33616185],[ 0.9950428   0.09944733 -0.427367  ]
[ 0.9950428   0.09944733 -0.427367  ],[0.04109359],[ 0.99661684  0.0821883  -0.34661746]
[ 0.99661684  0.0821883  -0.34661746],[-0.2901485],[ 0.99783224  0.06580859 -0.32849848]
[ 0.99783224  0.06580859 -0.32849848],[0.24390674],[ 0.998557    0.05370254 -0.24255604]
[ 0.998557    0.05370254 -0.24255604],[-0.35763526],[ 0.9991624   0.04092074 -0.2559244 ]
[ 0.9991624   0.04092074 -0.2559244 ],[0.46881938],[ 0.9994494   0.03318053 -0.15491095]
[ 0.9994494   0.03318053 -0.15491095],[-0.38403904],[ 0.9997167   0.0238028  -0.18763141]
[ 0.9997167   0.0238028  -0.18763141],[0.574353],[ 0.9998075   0.01962247 -0.08362637]
[ 0.9998075   0.01962247 -0.08362637],[-0.38226724],[ 0.9999114   0.01331086 -0.1262496 ]
[ 0.9999114   0.01331086 -0.1262496 ],[0.47933102],[ 0.9999385   0.01109268 -0.04436681]
[ 0.9999385   0.01109268 -0.04436681],[-0.32199192],[ 0.99997634  0.00687555 -0.08434608]
[ 0.99997634  0.00687555 -0.08434608],[0.39829946],[ 0.9999826   0.00590335 -0.0194445 ]
[ 0.9999826   0.00590335 -0.0194445 ],[-0.3038211],[ 0.9999959   0.00287387 -0.06059015]
[ 0.9999959   0.00287387 -0.06059015],[0.36923814],[ 0.9999963   0.00272142 -0.00304903]
[ 0.9999963   0.00272142 -0.00304903],[-0.30743027],[ 9.9999994e-01  3.6529687e-04 -4.7122505e-02]
[ 9.9999994e-01  3.6529687e-04 -4.7122505e-02],[0.36662912],[9.999997e-01 7.725886e-04 8.145836e-03]
[9.999997e-01 7.725886e-04 8.145836e-03],[-0.32340848],[ 0.9999993  -0.00121671 -0.039786  ]
[ 0.9999993  -0.00121671 -0.039786  ],[0.37694883],[ 9.9999988e-01 -4.2452128e-04  1.5843796e-02]
[ 9.9999988e-01 -4.2452128e-04  1.5843796e-02],[-0.3429886],[ 0.99999756 -0.00222066 -0.03592288]
[ 0.99999756 -0.00222066 -0.03592288],[0.3925631],[ 0.99999934 -0.00115586  0.02129608]
[ 0.99999934 -0.00115586  0.02129608],[-0.3638246],[ 0.9999959  -0.00286308 -0.03414451]
[ 0.9999959  -0.00286308 -0.03414451],[0.41043448],[ 0.99999875 -0.00159942  0.02527335]
[ 0.99999875 -0.00159942  0.02527335],[-0.38436222],[ 0.99999464 -0.00327844 -0.03358054]
[ 0.8514612  -0.52441764 -0.6972127 ],[1.7825289],[ 0.8291626  -0.55900747 -0.8231466 ]
[ 0.8291626  -0.55900747 -0.8231466 ],[1.6793003],[ 0.8004722 -0.5993699 -0.9905072]
[ 0.8004722 -0.5993699 -0.9905072],[1.3790195],[ 0.7620179 -0.647556  -1.2331816]
[ 0.7620179 -0.647556  -1.2331816],[0.5572183],[ 0.7065848  -0.70762837 -1.6352658 ]
[ 0.7065848  -0.70762837 -1.6352658 ],[-0.6761148],[ 0.62199664 -0.7830199  -2.2674043 ]
[ 0.62199664 -0.7830199  -2.2674043 ],[-0.75492525],[ 0.4993901  -0.86637723 -2.9679081 ]
[ 0.4993901  -0.86637723 -2.9679081 ],[0.06928849],[ 0.33587098 -0.941908   -3.6072977 ]
[ 0.33587098 -0.941908   -3.6072977 ],[0.80319977],[ 0.13247675 -0.99118614 -4.1932487 ]
[ 0.13247675 -0.99118614 -4.1932487 ],[1.1822648],[-0.10490422 -0.99448234 -4.759299  ]
[-0.10490422 -0.99448234 -4.759299  ],[0.7369509],[-0.36611292 -0.9305704  -5.3946176 ]
[-0.36611292 -0.9305704  -5.3946176 ],[-0.31709373],[-0.630218  -0.7764182 -6.1401095]
[-0.630218  -0.7764182 -6.1401095],[-0.9311938],[-0.85468256 -0.519151   -6.8621025 ]
[-0.85468256 -0.519151   -6.8621025 ],[-1.2029094],[-0.98485476 -0.1733815  -7.431902  ]
[-0.98485476 -0.1733815  -7.431902  ],[-1.5755305],[-0.9768373   0.21398363 -7.798268  ]
[-0.9768373   0.21398363 -7.798268  ],[-1.3183244],[-0.8211189   0.57075715 -7.835529  ]
[-0.8211189   0.57075715 -7.835529  ],[1.668782],[-0.5691827  0.8222111 -7.1571436]
[-0.5691827  0.8222111 -7.1571436],[1.8518019],[-0.28822795  0.95756185 -6.262715  ]
[-0.28822795  0.95756185 -6.262715  ],[0.48605776],[-0.01879289  0.9998234  -5.471635  ]
[-0.01879289  0.9998234  -5.471635  ],[-0.83274937],[ 0.22168292  0.9751188  -4.8466797 ]
[ 0.22168292  0.9751188  -4.8466797 ],[-1.3525295],[ 0.4254427   0.90498537 -4.31822   ]
[ 0.4254427   0.90498537 -4.31822   ],[-0.82692385],[ 0.5872256   0.80942327 -3.7635195 ]
[ 0.5872256   0.80942327 -3.7635195 ],[-0.04999661],[ 0.7074082  0.7068052 -3.1639516]
[ 0.7074082  0.7068052 -3.1639516],[0.11999464],[ 0.7935476  0.6085082 -2.6158485]
[ 0.7935476  0.6085082 -2.6158485],[0.20468616],[ 0.853703   0.5207602 -2.1287644]
[ 0.853703   0.5207602 -2.1287644],[0.17070508],[ 0.895113    0.44583932 -1.7125885 ]
[ 0.895113    0.44583932 -1.7125885 ],[-0.01232481],[ 0.9237227   0.38306195 -1.3800578 ]
[ 0.9237227   0.38306195 -1.3800578 ],[-0.07020521],[ 0.94343823  0.33154827 -1.1032921 ]
[ 0.94343823  0.33154827 -1.1032921 ],[-0.64190054],[ 0.9581299   0.28633398 -0.950916  ]
[ 0.9581299   0.28633398 -0.950916  ],[-0.5686772],[ 0.9690792   0.24674994 -0.82146704]
[ 0.9690792   0.24674994 -0.82146704],[-0.6699848],[ 0.9775109   0.21088472 -0.73690236]
[ 0.9775109   0.21088472 -0.73690236],[-0.39245105],[ 0.98373616  0.17961948 -0.63760644]
[ 0.98373616  0.17961948 -0.63760644],[-0.46295393],[ 0.9884728   0.15139845 -0.57233495]
[ 0.9884728   0.15139845 -0.57233495],[-0.18484831],[ 0.9918629   0.12731077 -0.48651335]
[ 0.9918629   0.12731077 -0.48651335],[-0.35707068],[ 0.99444765  0.10523246 -0.44459087]
[ 0.99444765  0.10523246 -0.44459087],[0.01965284],[ 0.9961925   0.08718091 -0.3627186 ]
[ 0.9961925   0.08718091 -0.3627186 ],[-0.29180872],[ 0.99753445  0.07017878 -0.3411042 ]
[ 0.99753445  0.07017878 -0.3411042 ],[0.21072078],[ 0.9983534   0.05736192 -0.256862  ]
[ 0.9983534   0.05736192 -0.256862  ],[-0.33736527],[ 0.9990246   0.04415679 -0.26444536]
[ 0.9990246   0.04415679 -0.26444536],[0.40886092],[ 0.99936384  0.03566366 -0.16999863]
[ 0.99936384  0.03566366 -0.16999863],[-0.3554691],[ 0.9996661   0.02583978 -0.19657126]
[ 0.9996661   0.02583978 -0.19657126],[0.56810284],[ 0.99977434  0.02124226 -0.091976  ]
[ 0.99977434  0.02124226 -0.091976  ],[-0.38410163],[ 0.99989396  0.01456037 -0.13365954]
[ 0.99989396  0.01456037 -0.13365954],[0.48707843],[ 0.9999271   0.01207671 -0.04967751]
[ 0.9999271   0.01207671 -0.04967751],[-0.31967866],[ 0.99997073  0.00764834 -0.08857178]
[ 0.99997073  0.00764834 -0.08857178],[0.3996458],[ 0.99997884  0.00650394 -0.02288865]
[ 0.99997884  0.00650394 -0.02288865],[-0.2989303],[ 0.99999434  0.00336146 -0.06285024]
[ 0.99999434  0.00336146 -0.06285024],[0.3656988],[ 0.99999523  0.00308775 -0.00547432]
[ 0.99999523  0.00308775 -0.00547432],[-0.3005638],[ 9.9999976e-01  6.7560090e-04 -4.8243079e-02]
[ 9.9999976e-01  6.7560090e-04 -4.8243079e-02],[0.36094618],[9.999995e-01 9.958781e-04 6.405548e-03]
[9.999995e-01 9.958781e-04 6.405548e-03],[-0.31610036],[ 0.99999946 -0.00101725 -0.0402626 ]
[ 0.99999946 -0.00101725 -0.0402626 ],[0.3705063],[ 9.9999994e-01 -2.8973116e-04  1.4550407e-02]
[ 9.9999994e-01 -2.8973116e-04  1.4550407e-02],[-0.33569455],[ 0.9999978  -0.00209078 -0.03602107]
[ 0.9999978  -0.00209078 -0.03602107],[0.38595438],[ 0.9999994  -0.00107558  0.020304  ]
[ 0.9999994  -0.00107558  0.020304  ],[-0.35685992],[ 0.9999961  -0.00277717 -0.03403168]
[ 0.9999961  -0.00277717 -0.03403168],[0.40405345],[ 0.9999988  -0.0015525   0.02449346]
[ 0.9999988  -0.0015525   0.02449346],[-0.3779384],[ 0.9999948  -0.00322057 -0.03336167]
[-0.53807807 -0.842895    0.7421121 ],[0.75373125],[-0.5286465  -0.8488421   0.22300057]
[-0.5286465  -0.8488421   0.22300057],[-0.43546963],[-0.54882073 -0.83594006 -0.47895142]
[-0.54882073 -0.83594006 -0.47895142],[-1.8457372],[-0.605259  -0.7960286 -1.3827671]
[-0.605259  -0.7960286 -1.3827671],[-1.997832],[-0.69186175 -0.72203    -2.2794633 ]
[-0.69186175 -0.72203    -2.2794633 ],[-1.9955803],[-0.7956504 -0.6057561 -3.120323 ]
[-0.7956504 -0.6057561 -3.120323 ],[-1.9796374],[-0.89732003 -0.44138047 -3.8715856 ]
[-0.89732003 -0.44138047 -3.8715856 ],[-1.9521878],[-0.97312474 -0.23027872 -4.495449  ]
[-0.97312474 -0.23027872 -4.495449  ],[-1.9469173],[-0.99987763  0.01564507 -4.9601955 ]
[-0.99987763  0.01564507 -4.9601955 ],[-1.9489162],[-0.96169245  0.2741307  -5.2407994 ]
[-0.96169245  0.2741307  -5.2407994 ],[-1.9531552],[-0.8555964   0.51764345 -5.3281746 ]
[-0.8555964   0.51764345 -5.3281746 ],[-1.9618961],[-0.6925302  0.7213889 -5.234226 ]
[-0.6925302  0.7213889 -5.234226 ],[-1.9678787],[-0.4930328   0.87001073 -4.9883666 ]
[-0.4930328   0.87001073 -4.9883666 ],[-1.9796318],[-0.2801325   0.95996135 -4.6328034 ]
[-0.2801325   0.95996135 -4.6328034 ],[-1.9869186],[-0.07332277  0.99730825 -4.21087   ]
[-0.07332277  0.99730825 -4.21087   ],[-1.9960667],[ 0.11447481  0.99342614 -3.7622988 ]
[ 0.11447481  0.99342614 -3.7622988 ],[-1.9978131],[ 0.27690473  0.9608974  -3.3169012 ]
[ 0.27690473  0.9608974  -3.3169012 ],[-1.9978589],[ 0.41265485  0.9108875  -2.895907  ]
[ 0.41265485  0.9108875  -2.895907  ],[-1.997592],[ 0.5235273  0.8520089 -2.5123801]
[ 0.5235273  0.8520089 -2.5123801],[-1.9969811],[ 0.61282593  0.79021794 -2.1729207 ]
[ 0.61282593  0.79021794 -2.1729207 ],[-1.9958351],[ 0.6842782   0.72922105 -1.8796325 ]
[ 0.6842782   0.72922105 -1.8796325 ],[-1.9935218],[ 0.7414312  0.6710289 -1.631745 ]
[ 0.7414312  0.6710289 -1.631745 ],[-1.9909157],[ 0.7873854   0.61646104 -1.4271106 ]
[ 0.7873854   0.61646104 -1.4271106 ],[-1.9887229],[ 0.82472163  0.5655389  -1.2630733 ]
[ 0.82472163  0.5655389  -1.2630733 ],[-1.9900739],[ 0.855534   0.5177466 -1.1374302]
[ 0.855534   0.5177466 -1.1374302],[-1.9894001],[ 0.88146615  0.47224724 -1.0475303 ]
[ 0.88146615  0.47224724 -1.0475303 ],[-1.9846556],[ 0.90377545  0.4280069  -0.99104315]
[ 0.90377545  0.4280069  -0.99104315],[-1.9710487],[ 0.9233803   0.38388643 -0.9656953 ]
[ 0.9233803   0.38388643 -0.9656953 ],[-1.9216987],[ 0.9408386   0.33885515 -0.96603525]
[ 0.9408386   0.33885515 -0.96603525],[-1.6749161],[ 0.95605963  0.29317227 -0.9631313 ]
[ 0.95605963  0.29317227 -0.9631313 ],[-0.6612965],[ 0.967557    0.25265267 -0.8424466 ]
[ 0.967557    0.25265267 -0.8424466 ],[-0.63385487],[ 0.97632784  0.21629606 -0.7480353 ]
[ 0.97632784  0.21629606 -0.7480353 ],[-0.45609617],[ 0.9828796   0.18424901 -0.65422773]
[ 0.9828796   0.18424901 -0.65422773],[-0.42836618],[ 0.9878111   0.15565741 -0.58029586]
[ 0.9878111   0.15565741 -0.58029586],[-0.25141442],[ 0.99140173  0.13085337 -0.501265  ]
[ 0.99140173  0.13085337 -0.501265  ],[-0.30502164],[ 0.99408865  0.10857134 -0.4488782 ]
[ 0.99408865  0.10857134 -0.4488782 ],[-0.06844389],[ 0.9959617   0.08977892 -0.37771627]
[ 0.9959617   0.08977892 -0.37771627],[-0.20315993],[ 0.9973471   0.07279272 -0.34085608]
[ 0.9973471   0.07279272 -0.34085608],[0.08515239],[ 0.99824923  0.05914819 -0.27348867]
[ 0.99824923  0.05914819 -0.27348867],[-0.195019],[ 0.99893004  0.04624721 -0.25838038]
[ 0.99893004  0.04624721 -0.25838038],[0.23277807],[ 0.99932206  0.03681648 -0.18877827]
[ 0.99932206  0.03681648 -0.18877827],[-0.18302107],[ 0.9996248   0.02739042 -0.18861906]
[ 0.9996248   0.02739042 -0.18861906],[0.38079715],[ 0.9997614   0.02184428 -0.11095668]
[ 0.9997614   0.02184428 -0.11095668],[-0.20439863],[ 0.9998786   0.01558372 -0.12523328]
[ 0.9998786   0.01558372 -0.12523328],[0.33601046],[ 0.9999228   0.01242683 -0.06314392]
[ 0.9999228   0.01242683 -0.06314392],[-0.18347824],[ 0.9999651   0.00835978 -0.08134552]
[ 0.9999651   0.00835978 -0.08134552],[0.2762115],[ 0.9999777   0.00667763 -0.03364396]
[ 0.9999777   0.00667763 -0.03364396],[-0.17931497],[ 0.9999924   0.00390102 -0.05553299]
[ 0.9999924   0.00390102 -0.05553299],[0.250108],[ 0.99999505  0.00314647 -0.01509102]
[ 0.99999505  0.00314647 -0.01509102],[-0.18776572],[ 0.9999994   0.00110168 -0.04089602]
[ 0.9999994   0.00110168 -0.04089602],[0.24998283],[ 9.9999952e-01  9.7305956e-04 -2.5723432e-03]
[ 9.9999952e-01  9.7305956e-04 -2.5723432e-03],[-0.20627904],[ 9.9999976e-01 -6.6616043e-04 -3.2784406e-02]
[ 9.9999976e-01 -6.6616043e-04 -3.2784406e-02],[0.2627337],[ 9.9999994e-01 -3.5985897e-04  6.1260299e-03]
[ 9.9999994e-01 -3.5985897e-04  6.1260299e-03],[-0.22998226],[ 0.9999984  -0.00179192 -0.0286412 ]
[ 0.9999984  -0.00179192 -0.0286412 ],[0.2827711],[ 0.99999934 -0.00117039  0.01243053]
[ 0.99999934 -0.00117039  0.01243053],[-0.2566359],[ 0.99999684 -0.00251752 -0.02694266]
