State,Action,NextState
[-0.33165172  0.46795867],1.6717424,[-0.30792591  0.47451615]
[-0.30792591  0.47451615],1.4961166,[-0.28434483  0.47162158]
[-0.28434483  0.47162158],1.3006892,[-0.26152841  0.45632847]
[-0.26152841  0.45632847],1.1066747,[-0.24010782  0.4284117 ]
[-0.24010782  0.4284117 ],0.9798279,[-0.22025631  0.39703036]
[-0.22025631  0.39703036],0.8865142,[-0.20194892  0.36614768]
[-0.20194892  0.36614768],0.80439806,[-0.18513027  0.33637312]
[-0.18513027  0.33637312],0.74803877,[-0.16960412  0.31052301]
[-0.16960412  0.31052301],0.698478,[-0.15516909  0.28870059]
[-0.15516909  0.28870059],0.6614866,[-0.14156843  0.27201321]
[-0.14156843  0.27201321],0.6189189,[-0.12861697  0.25902903]
[-0.12861697  0.25902903],0.56962466,[-0.11620319  0.24827573]
[-0.11620319  0.24827573],0.5116861,[-0.10429958  0.23807226]
[-0.10429958  0.23807226],0.42430758,[-0.0931178   0.22363546]
[-0.0931178   0.22363546],0.31410527,[-0.08306711  0.20101379]
[-0.08306711  0.20101379],0.24781227,[-0.07426927  0.17595692]
[-0.07426927  0.17595692],0.26239634,[-0.06628599  0.15966561]
[-0.06628599  0.15966561],0.12682581,[-0.05983542  0.12901139]
[-0.05983542  0.12901139],0.3068037,[-0.05332631  0.13018216]
[-0.05332631  0.13018216],-0.06840062,[-0.04932899  0.07994628]
[-0.04932899  0.07994628],0.44055414,[-0.04387661  0.10904766]
[-0.04387661  0.10904766],-0.23110688,[-0.04180238  0.04148473]
[2.16317002 0.86744367],2.0,[2.25265287 1.78965695]
[2.25265287 1.78965695],2.0,[2.38625087 2.67195995]
[2.38625087 2.67195995],2.0,[2.56055652 3.48611311]
[2.56055652 3.48611311],2.0,[2.77044556 4.19778086]
[2.77044556 4.19778086],2.0,[3.00893528 4.76979435]
[3.00893528 4.76979435],2.0,[3.26738507 5.16899582]
[3.26738507 5.16899582],2.0,[3.53613008 5.37490012]
[3.53613008 5.37490012],2.0,[3.80546079 5.38661423]
[3.80546079 5.38661423],2.0,[4.0666852  5.22448819]
[4.0666852  5.22448819],2.0,[4.31295924 4.92548084]
